Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
   3 BARE CU SOLID,$0.00, ,, ,$0.00, ,0,0.009,
   2 BARE CU SOLID,"$19,042.07",M,19.04207, ,"$11,425.24",M,1000,0.01,98 0100 33460
cu bare stranded,$0.00, ,, ,$0.00, ,0,,
   8 BARE CU STRANDED,"$4,309.56",M,4.30956, ,"$2,585.74",M,1000,0.006,98 0100 33500
   6 BARE CU STRANDED,"$7,539.31",M,7.53931, ,"$4,523.59",M,1000,0.007,98 0100 33510
   4 BARE CU STRANDED,"$12,460.78",M,12.46078, ,"$7,476.47",M,1000,0.008,98 0100 33520
   3 BARE CU STRANDED,$0.00, ,, ,$0.00, ,0,,
   2 BARE CU STRANDED,"$19,631.00",M,19.631, ,"$11,778.60",M,1000,0.01,98 0100 33540
   1 BARE CU STRANDED,$0.00,M,0, ,$0.00,M,1000,0.011,00 0000 00000
 1/0 BARE CU STRANDED,"$27,913.89",M,27.91389, ,"$16,748.33",M,1000,0.014,98 0100 33560
 2/0 BARE CU STRANDED,"$34,421.29",M,34.42129, ,"$20,652.77",M,1000,0.016,98 0100 33570
 3/0 BARE CU STRANDED,"$39,698.98",M,39.69898, ,"$23,819.39",M,1000,0.02,98 0100 33580
 4/0 BARE CU STRANDED,"$54,647.11",M,54.64711, ,"$32,788.27",M,1000,0.022,98 0100 33590
 250 BARE CU STRANDED,"$61,595.27",M,61.59527, ,"$36,957.16",M,1000,0.024,98 0100 33600
 300 BARE CU STRANDED,"$69,602.64",M,69.60264, ,"$41,761.58",M,1000,0.026,98 0100 33610
 350 BARE CU STRANDED,"$86,018.62",M,86.01862, ,"$51,611.17",M,1000,0.032,98 0100 33620
 400 BARE CU STRANDED,"$109,926.07",M,109.92607, ,"$65,955.64",M,1000,0.036,98 0100 33630
 500 BARE CU STRANDED,"$122,768.87",M,122.76887, ,"$73,661.32",M,1000,0.042,98 0100 33640
cu mtw stranded,$0.00, ,, ,$0.00, ,0,,
  16 MTW CU STRANDED,$213.67,M,0.21367, ,$128.20,M,1000,0.003,98 0130 30700
  14 MTW CU STRANDED,$314.48,M,0.31448, ,$188.69,M,1000,0.003,98 0130 30800
  12 MTW CU STRANDED,$409.59,M,0.40959, ,$245.75,M,1000,0.004,98 0130 30900
  10 MTW CU STRANDED,$634.24,M,0.63424, ,$380.54,M,1000,0.005,98 0130 31000
   8 MTW CU STRANDED,"$1,123.50",M,1.1235, ,$674.10,M,1000,0.006,98 0130 31060
cu tffn stranded,$0.00, ,, ,$0.00, ,0,,
  18 TFFN CU Wire,$670.06,M,0.67006, ,$402.04,M,1000,0.002,98 0100 22600
  16 TFFN CU Wire,$937.88,M,0.93788, ,$562.73,M,1000,0.003,98 0100 22700
al thhn stranded 90deg,$0.00, ,, ,$0.00, ,0,,
6 THHN BLK STR AL WIRE ,$799.38,M,0.79938, ,$479.63,M,1000,0.005,98 0120 53150
4 THHN BLK STR AL WIRE ,$987.49,M,0.98749, ,$592.49,M,1000,0.006,98 0120 53200
3 THHN BLK STR AL WIRE ,$0.00, ,, ,$0.00, ,0,0.009,
2 THHN BLK STR AL WIRE ,"$1,252.90",M,1.2529, ,$751.74,M,1000,0.007,98 0120 53300
1 THHN BLK STR AL WIRE ,"$1,726.64",M,1.72664, ,"$1,035.98",M,1000,0.008,98 0120 53350
1/0 THHN BLK STR AL WIR,"$1,939.14",M,1.93914, ,"$1,163.48",M,1000,0.009,98 0120 53400
2/0 THHN BLK STR AL WIR,"$2,291.70",M,2.2917, ,"$1,375.02",M,1000,0.01,98 0120 53405
3/0 THHN BLK STR AL WIR,"$2,845.24",M,2.84524, ,"$1,707.14",M,1000,0.011,98 0120 53410
4/0 THHN BLK STR AL WIR,"$3,162.56",M,3.16256, ,"$1,897.54",M,1000,0.012,98 0120 53415
250MCM THHN BLK STR AL ,"$3,860.64",M,3.86064, ,"$2,316.38",M,1000,0.014,98 0120 53420
300MCM THHN B.STR AL WI,"$5,334.39",M,5.33439, ,"$3,200.63",M,1000,0.016,98 0120 53425
350MCM THHN B.STR AL WI,"$5,422.53",M,5.42253, ,"$3,253.52",M,1000,0.018,98 0120 53430
400MCM THHN B. STR AL W,"$6,339.21",M,6.33921, ,"$3,803.53",M,1000,0.022,98 0120 53435
500MCM THHN B.STR AL WI,"$6,991.48",M,6.99148, ,"$4,194.89",M,1000,0.026,98 0120 53440
600MCM THHN BSTR AL WIR,"$8,860.10",M,8.8601, ,"$5,316.06",M,1000,0.032,98 0120 53445
700MCM THHN B. STR AL W,"$10,228.07",M,10.22807, ,"$6,136.84",M,1000,0.042,98 0120 53450
750MCM THHN B. STR AL W,"$10,333.84",M,10.33384, ,"$6,200.30",M,1000,0.042,98 0120 53455
1000MCM THHN B.STR AL W,"$15,382.65",M,15.38265, ,"$9,229.59",M,1000,0.054,98 0120 53470
al xhhw stranded 90deg,$0.00, ,, ,$0.00, ,0,,
   6 XHHW AL STRANDED 6,$815.70,M,0.8157, ,$489.42,M,1000,0.005,98 0120 54100
   4 XHHW AL STRANDED 7,"$1,007.64",M,1.00764, ,$604.58,M,1000,0.006,98 0120 54150
   3 XHHW AL STRANDED 8,$0.00, ,, ,$0.00, ,0,0.009,
   2 XHHW AL STRANDED 1,"$1,278.47",M,1.27847, ,$767.08,M,1000,0.007,98 0120 54180
   1 XHHW AL STRANDED 1,"$1,761.89",M,1.76189, ,"$1,057.13",M,1000,0.008,98 0120 54200
 1/0 XHHW AL STRANDED 1,"$1,978.72",M,1.97872, ,"$1,187.23",M,1000,0.009,98 0120 54225
 2/0 XHHW AL STRANDED 1,"$2,338.47",M,2.33847, ,"$1,403.08",M,1000,0.01,98 0120 54230
 3/0 XHHW AL STRANDED 1,"$2,903.31",M,2.90331, ,"$1,741.99",M,1000,0.011,98 0120 54235
 4/0 XHHW AL STRANDED 2,"$3,227.11",M,3.22711, ,"$1,936.27",M,1000,0.012,98 0120 54240
 250 XHHW AL STRANDED 2,"$3,939.44",M,3.93944, ,"$2,363.66",M,1000,0.014,98 0120 54245
 300 XHHW AL STRANDED 2,"$5,443.26",M,5.44326, ,"$3,265.96",M,1000,0.016,98 0120 54250
 350 XHHW AL STRANDED 2,"$5,533.19",M,5.53319, ,"$3,319.91",M,1000,0.018,98 0120 54255
 400 XHHW AL STRANDED 3,"$6,468.60",M,6.4686, ,"$3,881.16",M,1000,0.022,98 0120 54260
 500 XHHW AL STRANDED 3,"$7,134.16",M,7.13416, ,"$4,280.50",M,1000,0.026,98 0120 54265
 600 XHHW AL STRANDED 3,"$9,040.92",M,9.04092, ,"$5,424.55",M,1000,0.032,98 0120 54270
 750 XHHW AL STRANDED 4,"$10,544.74",M,10.54474, ,"$6,326.84",M,1000,0.042,98 0120 54280
1000 XHHW AL STRANDED 5,"$15,696.58",M,15.69658, ,"$9,417.95",M,1000,0.054,98 0120 54295
al use rhh rhw stranded,$0.00, ,, ,$0.00, ,0,,
6 USE RHH RHW BLK STR A,"$1,030.04",M,1.03004, ,$618.02,M,1000,0.005,98 0120 57700
4 USE RHH RHW BLK STR A,"$1,183.64",M,1.18364, ,$710.18,M,1000,0.006,98 0120 57740
3 USE RHH RHW BLK STR A,$0.00, ,, ,$0.00, ,0,0.009,
2 USE RHH RHW BLK STR A,"$1,531.37",M,1.53137, ,$918.82,M,1000,0.007,98 0120 57775
1 USE RHH RHW BLK STR A,"$1,996.07",M,1.99607, ,"$1,197.64",M,1000,0.008,98 0120 57815
1/0 USE RHH RHW STR AL ,"$2,306.40",M,2.3064, ,"$1,383.84",M,1000,0.009,98 0120 57825
2/0 USE RHH RHW STR AL ,"$2,708.82",M,2.70882, ,"$1,625.29",M,1000,0.01,98 0120 57830
3/0 USE RHH RHW STR AL ,"$3,275.76",M,3.27576, ,"$1,965.46",M,1000,0.011,98 0120 57835
4/0 USE RHH RHW STR AL ,"$3,643.56",M,3.64356, ,"$2,186.14",M,1000,0.012,98 0120 57840
250MCM USE RHH RHW STR ,"$4,810.31",M,4.81031, ,"$2,886.19",M,1000,0.014,98 0120 57845
300MCM USE RHH RHW STR ,"$6,248.55",M,6.24855, ,"$3,749.13",M,1000,0.016,98 0120 57850
350MCM USE RHH RHW STR ,"$6,390.15",M,6.39015, ,"$3,834.09",M,1000,0.018,98 0120 57855
400MCM USE RHH RHW STR ,"$7,802.30",M,7.8023, ,"$4,681.38",M,1000,0.022,98 0120 57860
500MCM USE RHH RHW STR ,"$8,581.05",M,8.58105, ,"$5,148.63",M,1000,0.026,98 0120 57865
600MCM USE RHH RHW STR ,$0.00,Q,, ,$0.00,Q,0,0.026,
700MCM USE RHH RHW STR ,$0.00,Q,, ,$0.00,Q,0,0.026,
750MCM USE RHH RHW STR ,"$12,810.09",M,12.81009, ,"$7,686.05",M,1000,0.0042,98 0120 57880
1000MCM USE RHH RHW STR,$0.00,Q,, ,$0.00,Q,0,0.046,
uf cable,$0.00, ,, ,$0.00, ,0,,
uf-b w/grd cu cable,$0.00, ,, ,$0.00, ,0,,
14/2 UF B W/ GND CU 250,"$4,161.96",M,4.16196, ,"$2,497.18",M,1000,0.015,98 0100 26460
12/2 UF B W/ GND CU 250,"$6,305.92",M,6.30592, ,"$3,783.55",M,1000,0.018,98 0100 26461
10/2 UF B W/ GND CU 250,"$10,208.42",M,10.20842, ,"$6,125.05",M,1000,0.019,98 0100 16613
8/2 UF B W/ GND CU 250R,"$17,838.66",M,17.83866, ,"$10,703.20",M,1000,0.021,98 0100 26618
14/3 UF B W/ GND CU 250,"$5,845.64",M,5.84564, ,"$3,507.38",M,1000,0.018,98 0100 26463
12/3 UF B W/ GND CU 250,"$8,797.14",M,8.79714, ,"$5,278.28",M,1000,0.019,98 0100 26464
10/3 UF B W/ GND CU 250,"$13,768.10",M,13.7681, ,"$8,260.86",M,1000,0.022,98 0100 26465
8/3 UF B W/ GND CU 50CN,"$26,331.76",M,26.33176, ,"$15,799.06",M,1000,0.024,98 0100 66669
6/3 UF B W/ GND CU 50CN,"$43,358.27",M,43.35827, ,"$26,014.96",M,1000,0.028,98 0100 66674
uf-nmcb w/grd cu cable,$0.00, ,, ,$0.00, ,0,,
14/2 UF NMCB CU W/ GND ,"$4,023.94",M,4.02394, ,"$2,414.36",M,1000,0.015,98 0100 26600
12/2 UF NMCB CU W/ GND ,"$6,167.82",M,6.16782, ,"$3,700.69",M,1000,0.018,98 0100 26605
10/2 UF NMCB CU W/ GND ,"$10,070.40",M,10.0704, ,"$6,042.24",M,1000,0.019,98 0100 26610
8/2 UF NMCB CU W/ GND 1,"$17,838.66",M,17.83866, ,"$10,703.20",M,1000,0.021,98 0100 26615
6/2 UF NMCB CU W/ GND 1,"$27,859.24",M,27.85924, ,"$16,715.54",M,1000,0.025,98 0100 26620
14/3 UF NMCB CU W/ GND ,"$5,707.60",M,5.7076, ,"$3,424.56",M,1000,0.018,98 0100 26650
12/3 UF NMCB CU W/ GND ,"$8,659.12",M,8.65912, ,"$5,195.47",M,1000,0.019,98 0100 26655
10/3 UF NMCB CU W/ GND ,"$13,768.10",M,13.7681, ,"$8,260.86",M,1000,0.022,98 0100 26660
8/3 UF NMCB CU W/ GND 1,"$26,331.76",M,26.33176, ,"$15,799.06",M,1000,0.024,98 0100 26665
6/3 UF NMCB CU W/ GND 1,"$43,358.27",M,43.35827, ,"$26,014.96",M,1000,0.028,98 0100 26670
uf connectors,$0.00, ,, ,$0.00, ,0,,
1/2 W-T CONN-UF,"$3,365.20",C,33.652, ,"$2,019.12",C,100,0.06,78 5991 90865
3/4 W-T CONN-UF,"$2,231.88",C,22.3188, ,"$1,339.13",C,100,0.075,78 5991 90866
arlington mtl uf connec,$0.00, ,, ,$0.00, ,0,,
"UF50 1/2"" MTL UF CONN",$669.98,C,6.6998, ,$401.99,C,100,0.06,01 8997 36500
"UF75 3/4"" MTL UF CONN",$718.32,C,7.1832, ,$430.99,C,100,0.075,01 8997 51302
arlington non-mtl uf co,$0.00, ,, ,$0.00, ,0,,
"NMUF50 1/2"" NON-MTL UF ",$755.41,C,7.5541, ,$453.25,C,100,0.06,01 8997 55040
"NMUF75 3/4"" NON-MTL UF ",$623.91,C,6.2391, ,$374.35,C,100,0.075,01 8997 54367
cu romex nm-b cable,$0.00, ,, ,$0.00, ,0,,
rope,$0.00, ,, ,$0.00, ,0,,
romex nm-b cable,$0.00, ,, ,$0.00, ,0,,
14/2 NM-B ROMEX W/GRD C,"$3,668.24",M,3.66824, ,"$1,907.48",M,1000,0.015,98 0100 26300
12/2 NM-B ROMEX W/GRD C,"$5,433.58",M,5.43358, ,"$2,825.46",M,1000,0.018,98 0100 26305
10/2 NM-B ROMEX W/GRD C,"$9,480.68",M,9.48068, ,"$4,929.95",M,1000,0.019,98 0100 26310
 8/2 NM-B ROMEX W/GRD C,"$16,159.86",M,16.15986, ,"$8,403.13",M,1000,0.021,98 0100 26315
 6/2 NM-B ROMEX W/GRD C,"$25,358.71",M,25.35871, ,"$13,186.53",M,1000,0.025,98 0100 26320
14/3 NM-B ROMEX W/GRD C,"$4,884.78",M,4.88478, ,"$2,540.09",M,1000,0.018,98 0100 26350
12/3 NM-B ROMEX W/GRD C,"$7,454.48",M,7.45448, ,"$3,876.33",M,1000,0.019,98 0100 26355
10/3 NM-B ROMEX W/GRD C,"$11,943.04",M,11.94304, ,"$6,210.38",M,1000,0.022,98 0100 26360
 8/3 NM-B ROMEX W/GRD C,"$22,749.94",M,22.74994, ,"$11,829.97",M,1000,0.024,98 0100 26365
 6/3 NM-B ROMEX W/GRD C,"$36,941.11",M,36.94111, ,"$19,209.38",M,1000,0.028,98 0100 26370
 4/3 NM-B ROMEX W/GRD C,"$92,119.42",M,92.11942, ,"$47,902.10",M,1000,0.032,98 0100 26375
 2/3 NM-B ROMEX W/GRD C,"$138,097.24",M,138.09724, ,"$71,810.56",M,1000,0.035,98 0100 26380
14/4 NM-B ROMEX W/GRD C,"$7,233.70",M,7.2337, ,"$3,761.52",M,1000,0.019,98 0100 26385
12/4 NM-B ROMEX W/GRD C,"$11,157.38",M,11.15738, ,"$5,801.84",M,1000,0.023,98 0100 26388
10/4 NM-B ROMEX W/GRD C,"$17,281.72",M,17.28172, ,"$8,986.49",M,1000,0.024,98 0100 26391
romex connectors bridge,$0.00, ,, ,$0.00, ,0,,
"ROMEX CONNECTOR 3/8"" 2 ",$128.64,C,1.2864, ,$77.18,C,100,0.03,78 1747 15650
"ROMEX CONNECTOR 3/4"" 2 ",$328.40,C,3.284, ,$197.04,C,100,0.03,78 1747 15670
"ROMEX CONNECTOR 1"" 2 SC",$584.77,C,5.8477, ,$350.86,C,100,0.03,78 1747 15672
"ROMEX CONNECTOR 1 1/4"" ",$860.98,C,8.6098, ,$516.59,C,100,0.03,78 1747 15674
"ROMEX CONNECTOR 1 1/2"" ","$1,386.22",C,13.8622, ,$831.73,C,100,0.03,78 1747 15675
"ROMEX CONNECTOR 2"" 2 SC","$1,668.00",C,16.68, ,"$1,000.80",C,100,0.03,78 1747 15676
arlington romex connect,$0.00, ,, ,$0.00, ,0,,
NM94 PLASTIC PUSH-IN CO,$21.05,C,0.2105, ,$12.63,C,100,0.03,01 8997 05488
NM840 PLASTIC PUSH-IN C,$40.88,C,0.4088, ,$24.53,C,100,0.03,01 8997 54840
