assmNum,assmName,level1,level2,level3,matchType
1853,n3/0 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1859,n4/0 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1865,n250 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1871,n300 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1877,n350 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1883,n400 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1889,n500 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1895,n600 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1901,n750 emt d/c strap,Feeder,EMT,"D/C, Strap",unique
1910,n14 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1919,n12 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1928,n10 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1937,n8 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1944,n6 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1950,n4 emt d/c strap concrete,Branch,EMT,"D/C, Strap Concrete",unique
1957,n3 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1963,n2 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1969,n1 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1975,n1/0 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1981,n2/0 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1987,n3/0 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1993,n4/0 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
1999,n250 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2005,n300 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2011,n350 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2017,n400 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
2023,n500 emt d/c strap concrete,Feeder,EMT,"D/C, Strap Concrete",unique
