Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
 6/2 BX STR 90D ARMOR,6.6192,0.032
14/3 BX SOL 90D ARMOR,1.7808,0.022
12/3 BX SOL 90D ARMOR,1.9992,0.025
10/3 BX SOL 90D ARMOR,2.9904,0.028
 8/3 BX STR 90D ARMOR,4.2504,0.032
 6/3 BX STR 90D ARMOR,5.3088,0.038
 4/3 BX STR 90D ARMOR,10.48002,0.05
 3/3 BX STR 90D ARMOR,9.9792,0.055
 2/3 BX STR 90D ARMOR,14.90896,0.062
14/4 BX SOL 90D ARMOR,1.512,0.025
12/4 BX SOL 90D ARMOR,2.8728,0.028
10/4 BX SOL 90D ARMOR,5.0904,0.032
 8/4 BX STR 90D ARMOR,5.0064,0.039
 6/4 BX STR 90D ARMOR,9.6096,0.045
 4/4 BX STR 90D ARMOR,14.27653,0.06
 3/4 BX STR 90D ARMOR,13.73954,0.062
 2/4 BX STR 90D ARMOR,15.96,0.066
bx/mc connector,,
1/2 DIE CAST BX CONN,5.7217,0.06
1/2 D/C 2-SCREW CLAMP C,5.856,0.06
1/2    D/C DPLX BX/MC C,8.9642,0.1
bx/mci/hcf connector,,
1/2 MCI/AC/HCF REDI LOK,6.4017,0.09
3/4 MCI/AC/HCF REDI LOK,7.3482,0.1
1/2 MCI/AC/HCF DUPLX  R,12.1596,0.09
ins sqz flex 90 connect,,
3/8 90D INS FLEX SQZ CO,26.0787,0.09
1/2 90D INS FLEX  SQZ C,28.7023,0.09
3/4 90D INS FLEX  SQZ C,48.1822,0.1
1-IN 90D INS FLEX  SQZ ,118.94,0.1
1-1/4 90D INS FLEX  SQZ,211.217,0.11
1-1/2 90D INS FLEX  SQZ,310.6499,0.12
2-IN 90D INS FLEX  SQZ ,425.8696,0.13
arlington bx/mc connect,,
ARL SNAP2IT MC CONN,1.2708,0.05
ARL SNAP2IT 4W MC CONN,1.2708,0.05
ARL SNAP2IT LN MC CONN,1.2708,0.06
ARL SNAP2IT DUAL MC CON,3.4049,0.07
ARL STACKABLE CABLE STR,0.2261,0.06
arlington anti-short bu,,
AS0 5/16 ANTI-SHORT BUS,0.1213,0.016
AS1 3/8  ANTI-SHORT BUS,0.1278,0.016
AS2 7/16 ANTI-SHORT BUS,0.2394,0.016
AS3 1/2 ANTI-SHORT BUSH,0.3658,0.016
AS4 3/4 ANTI-SHORT BUSH,0.4089,0.019
AS5 1 ANTI-SHORT BUSHIN,2.5172,0.019
AS6 1 1/4 ANTI-SHORT BU,3.5242,0.022
AS7 1 1/2 ANTI-SHORT BU,4.0274,0.022
AS8 2 - 2 1/2 ANTI-SHOR,4.8668,0.022
mc cable anti-short bus,,
0 ANTI SHORT BUSHING,0.2184,0.016
1 ANTI SHORT BUSHING,0.252,0.019
2 ANTI SHORT BUSHING,0.3024,0.022
3 ANTI SHORT BUSHING,0.3528,0.022
4 ANTI SHORT BUSHING,0.42,0.022
cu branch mc cable,,
mc cu branch cable,,
14/2 MC CU CABLE,1.26,0.02
14/3 MC CU CABLE,2.1,0.022
14/4 MC CU CABLE,2.7216,0.025
12/2 MC CU CABLE,1.3104,0.022
12/3 MC CU CABLE,2.3016,0.025
12/4 MC CU CABLE,3.024,0.028
10/2 MC CU CABLE,2.8728,0.025
10/3 MC CU CABLE,3.9984,0.028
10/4 MC CU CABLE,6.1488,0.032
home run mc cables - co,,
12/6 SOLID COPPER MC CA,4.4688,0.028
12/8 SOLID COPPER MC CA,5.5776,0.032
12/12 SOLID COPPER MC C,4.5928,0.038
10/6 SOLID COPPER MC CA,1.7976,0.0325
10/8 SOLID COPPER MC CA,2.3856,0.0375
12/6 STRANDED COPPER MC,5.4768,0.0285
12/8 STRANDED COPPER MC,14.4648,0.032
12/12 STRANDED COPPER M,6.216,0.038
10/8 STRANDED COPPER MC,6.2328,0.0365
mc al pvc cable w/sol c,,
MC-AP-AL-14/2-SOL-CU,1.1928,0.02
MC-AP-AL-14/3-SOL-CU,1.7304,0.022
MC-AP-AL-14/4-SOL-CU,2.4864,0.024
MC-AP-AL-12/2-SOL-CU,1.2096,0.022
