level1,level2,level3,assmNum,assmName
,,,4550,sealtite flex
,,,4563,liquidtight connector
,,,4576,liquidtight 90 connector
,,,4589,liquidtight non-metallic fl
,,,4598,liquidtight non-metallic co
,,,4607,liquidtight 90 non-metallic
,,,4616,grc branch
,,,4617,grc 1/2
,,,4643,grc 3/4
,,,4669,grc 1
,,,4696,grc feeder
,,,4697,grc 1 1/4
,,,4732,grc 1 1/2
,,,4767,grc 2
,,,4801,grc 2 1/2
,,,4835,grc 3
,,,4868,grc 3 1/2
,,,4903,grc 4
,,,4935,grc 5
,,,4963,grc 6
,,,4987,n14 grc no support
,,,4996,n12 grc no support
,,,5005,n10 grc no support
,,,5014,n8 grc no support
,,,5021,n6 grc no support
,,,5027,n4 grc no support
,,,5032,branch grc strap
,,,5033,n14 grc strap
,,,5042,n12 grc strap
,,,5051,n10 grc strap
,,,5060,n8 grc strap
,,,5067,n6 grc strap
,,,5073,n4 grc strap
,,,5078,n14 3/4 grc strap
,,,5087,n12 3/4 grc strap
,,,5096,feeder grc strap
,,,5097,n3 grc strap
,,,5103,n2 grc strap
,,,5109,n1 grc strap
,,,5115,n1/0 grc strap
,,,5121,n2/0 grc strap
,,,5127,n3/0 grc strap
,,,5133,n4/0 grc strap
,,,5139,n250 grc strap
,,,5145,n300 grc strap
,,,5151,n350 grc strap
,,,5157,n400 grc strap
,,,5163,n500 grc strap
,,,5169,n600 grc strap
,,,5175,n750 grc strap
,,,5182,branch grc strap concrete
,,,5183,n14 grc strap concrete
,,,5192,n12 grc strap concrete
,,,5201,n10  grc strap concrete
,,,5210,n8 grc strap concrete
,,,5217,n6 grc strap concrete
,,,5223,n4 grc strap concrete
,,,5228,n14 3/4 grc strap concrete
,,,5237,n12 3/4 grc strap concrete
,,,5247,grc feeder strap concrete
,,,5248,n3 grc strap conc.
,,,5254,n2 grc strap conc.
,,,5260,n1 grc strap conc.
,,,5266,n1/0 grc strap conc.
,,,5272,n2/0 grc strap conc
,,,5278,n3/0 grc strap conc.
,,,5284,n4/0 grc strap conc.
,,,5290,n250 grc strap conc.
,,,5296,n300 grc strap conc.
,,,5302,n350 grc strap conc.
,,,5308,n400 grc strap conc.
,,,5314,n500 grc  strap conc.
,,,5320,n600 grc  strap conc.
,,,5326,n750 grc  strap conc.
,,,5334,grc branch rack w/wire
,,,5335,n14 grc rack
,,,5344,n12 grc rack
,,,5353,n10 grc rack
,,,5362,n8 grc rack
,,,5369,n6 grc rack
,,,5375,n4 grc rack
,,,5380,n14 3/4 grc rack
,,,5389,n12 3/4 grc rack
,,,5399,grc feeder rack w/wire
,,,5400,n3 grc rack
,,,5406,n2 grc rack
,,,5412,n1 grc rack
,,,5418,n1/0 grc rack
,,,5424,n2/0 grc rack
,,,5430,n3/0 grc rack
,,,5436,n4/0 grc rack
,,,5442,n250 grc rack
,,,5448,n300 grc rack
,,,5454,n350 grc rack
,,,5460,n400 grc rack
,,,5466,n500 grc  rack
,,,5472,n600 grc rack
,,,5478,n750 grc  rack
,,,5487,grc branch underground w/wi
,,,5488,n14 grc underground
,,,5497,n12 grc underground
,,,5506,n10 grc  underground
,,,5515,n8 grc  underground
,,,5522,n6 grc  underground
,,,5528,n4 grc  underground
,,,5533,n14 3/4 grc underground
,,,5542,n12 3/4 grc underground
,,,5552,grc feeder underground w/wi
,,,5553,n3 grc underground
,,,5559,n2 grc underground
,,,5565,n1 grc underground
,,,5571,n1/0 grc underground
,,,5577,n2/0 grc underground
,,,5583,n3/0 grc underground
,,,5589,n4/0 grc underground
,,,5595,n250 grc underground
,,,5601,n300 grc underground
,,,5607,n350 grc underground
,,,5613,n400 grc underground
,,,5619,n500 grc  underground
,,,5625,n600 grc underground
,,,5631,n750 grc  underground
,,,5639,n14 grc beam clamp
,,,5648,n12 grc beam clamp
,,,5657,n10 grc beam clamp
,,,5666,n8 grc beam clamp
,,,5673,n6 grc beam clamp
,,,5679,n4 grc beam clamp
,,,5684,n14 3/4 grc beam clamp
,,,5693,n12 3/4 grc beam clamp
,,,5704,grc feeder beam clamp w/wir
,,,5705,n3 grc beam clamp
,,,5711,n2 grc beam clamp
,,,5717,n1 grc beam clamp
,,,5723,n1/0 grc beam clamp
,,,5729,n2/0 grc beam clamp
,,,5735,n3/0 grc beam clamp
,,,5741,n4/0 grc beam clamp
,,,5747,n250 grc beam clamp
,,,5753,n300 grc beam clamp
,,,5759,n350 grc beam clamp
,,,5765,n400 grc beam clamp
,,,5771,n500 grc  beam clamp
