Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,47, 1/0 XHHW CU STRANDED 1,,,,1.00,,,0.00,,"$16,126.71",,,M,14.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,48,, 2/0 XHHW CU STRANDED,,,,$20.15, ,,0.016,, ,$17.71,,, ,,$19.92,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,48, 2/0 XHHW CU STRANDED 1,,,,1.00,,,0.00,,"$20,153.95",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,49,, 3/0 XHHW CU STRANDED,,,,$25.23, ,,0.020,, ,$22.17,,, ,,$24.94,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,49, 3/0 XHHW CU STRANDED 2,,,,1.00,,,0.00,,"$25,230.49",,,M,20.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,50,, 4/0 XHHW CU STRANDED,,,,$31.64, ,,0.022,, ,$27.70,,, ,,$31.16,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,50, 4/0 XHHW CU STRANDED 2,,,,1.00,,,0.00,,"$31,643.99",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,51,, 250 XHHW CU STRANDED,,,,$36.49, ,,0.024,, ,$31.90,,, ,,$35.89,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,51, 250 XHHW CU STRANDED 2,,,,1.00,,,0.00,,"$36,494.84",,,M,24.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,52,, 300 XHHW CU STRANDED,,,,$43.39, ,,0.026,, ,$37.84,,, ,,$42.57,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,52, 300 XHHW CU STRANDED 3,,,,1.00,,,0.00,,"$43,388.55",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,53,, 350 XHHW CU STRANDED,,,,$50.69, ,,0.032,, ,$44.27,,, ,,$49.80,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,53, 350 XHHW CU STRANDED 3,,,,1.00,,,0.00,,"$50,693.81",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,54,, 400 XHHW CU STRANDED,,,,$57.81, ,,0.036,, ,$50.46,,, ,,$56.77,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,54, 400 XHHW CU STRANDED 3,,,,1.00,,,0.00,,"$57,807.20",,,M,36.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,55,, 500 XHHW CU STRANDED,,,,$72.10, ,,0.038,, ,$62.71,,, ,,$70.55,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,55, 500 XHHW CU STRANDED 4,,,,1.00,,,0.00,,"$72,101.59",,,M,38.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,56,, 600 XHHW CU STRANDED,,,,$91.05, ,,0.042,, ,$78.98,,, ,,$88.86,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,56, 600 XHHW CU STRANDED 4,,,,1.00,,,0.00,,"$91,047.75",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,57,, 750 XHHW CU STRANDED,,,,$148.37, ,,0.048,, ,$128.02,,, ,,$144.03,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
