Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,13,   8 THHN CU STRANDED 5,,,,2.10,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,789",,"3 #8 3/4"" PVC-40  STRAP",,,,$9.90, ,,0.070,, ,$10.80,,, ,,$12.15,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,13,   8 THHN CU STRANDED 5,,,,3.15,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,790",,"4 #8 3/4"" PVC-40  STRAP",,,,$12.72, ,,0.077,, ,$13.42,,, ,,$15.09,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,13,   8 THHN CU STRANDED 5,,,,4.20,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,791",,"5 #8 1"" PVC-40 STRAP",,,,$16.35, ,,0.095,, ,$17.13,,, ,,$19.27,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,13,   8 THHN CU STRANDED 5,,,,5.25,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,792",,"6 #8 1"" PVC-40 STRAP",,,,$19.17, ,,0.102,, ,$19.75,,, ,,$22.22,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,13,   8 THHN CU STRANDED 5,,,,6.30,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,794",,n6 pvc-40 strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,795",,"2 #6 3/4"" PVC-40 STRAP",,,,$11.08, ,,0.066,, ,$11.66,,, ,,$13.12,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,2.10,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,796",,"3 #6 3/4"" PVC-40 STRAP",,,,$15.91, ,,0.073,, ,$16.03,,, ,,$18.03,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,3.15,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,797",,"4 #6 1"" PVC-40 STRAP",,,,$21.54, ,,0.093,, ,$21.49,,, ,,$24.17,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,14,   6 THHN CU STRANDED 7,,,,4.20,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,798",,"5 #6 1"" PVC-40 STRAP",,,,$26.37, ,,0.101,, ,$25.85,,, ,,$29.08,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,14,   6 THHN CU STRANDED 7,,,,5.25,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,800",,n4 pvc-40 strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,801",,"2 #4 1"" PVC-40 STRAP",,,,$17.00, ,,0.081,, ,$17.20,,, ,,$19.35,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,15,   4 THHN CU STRANDED 9,,,,2.10,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,802",,"3 #4 1"" PVC-40 STRAP",,,,$24.40, ,,0.089,, ,$23.78,,, ,,$26.75,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,15,   4 THHN CU STRANDED 9,,,,3.15,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,803",,"4 #4 1"" PVC-40 STRAP",,,,$31.79, ,,0.097,, ,$30.36,,, ,,$34.15,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,15,   4 THHN CU STRANDED 9,,,,4.20,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.10,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,259",    1 GRC 1H STL STP,,,,0.13,,,0.00,,$305.63,,,C,3.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,445",    1 PVC MALE TERM,,,,0.10,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,805",,"n14 pvc- 40 3/4"" strap",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,806",,"2 #14 3/4"" PVC-40 STRAP",,,,$2.63, ,,0.058,, ,$4.18,,, ,,$4.70,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,5,  14 THHN CU SOLID,,,,2.10,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,807",,"3 #14 3/4"" PVC-40 STRAP",,,,$3.24, ,,0.061,, ,$4.80,,, ,,$5.40,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,5,  14 THHN CU SOLID,,,,3.15,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,808",,"4 #14 3/4"" PVC-40 STRAP",,,,$3.84, ,,0.064,, ,$5.43,,, ,,$6.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,5,  14 THHN CU SOLID,,,,4.20,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,809",,"5 #14 3/4"" PVC-40 STRAP",,,,$4.45, ,,0.067,, ,$6.05,,, ,,$6.80,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,5,  14 THHN CU SOLID,,,,5.25,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,810",,"6 #14 3/4"" PVC-40 STRAP",,,,$5.06, ,,0.070,, ,$6.67,,, ,,$7.50,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,5,  14 THHN CU SOLID,,,,6.30,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,811",,"7 #14 3/4"" PVC-40 STRAP",,,,$5.66, ,,0.073,, ,$7.29,,, ,,$8.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,5,  14 THHN CU SOLID,,,,7.35,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,812",,"8 #14 3/4"" PVC-40 STRAP",,,,$6.27, ,,0.077,, ,$7.91,,, ,,$8.90,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,5,  14 THHN CU SOLID,,,,8.40,,,0.00,,$576.74,,,M,3.00,,M,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,814",,"n12 pvc- 40 3/4"" strap",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,815",,"2 #12 3/4"" PVC-40 STRAP",,,,$3.41, ,,0.060,, ,$4.92,,, ,,$5.53,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,2.10,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,816",,"3 #12 3/4"" PVC-40 STRAP",,,,$4.41, ,,0.064,, ,$5.91,,, ,,$6.64,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,11,  12 THHN CU STRANDED 3,,,,3.15,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,817",,"4 #12 3/4"" PVC-40 STRAP",,,,$5.40, ,,0.068,, ,$6.90,,, ,,$7.76,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,4.20,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,818",,"5 #12 3/4"" PVC-40 STRAP",,,,$6.40, ,,0.072,, ,$7.88,,, ,,$8.87,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,11,  12 THHN CU STRANDED 3,,,,5.25,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,819",,"6 #12 3/4"" PVC-40 STRAP",,,,$7.39, ,,0.077,, ,$8.87,,, ,,$9.98,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,11,  12 THHN CU STRANDED 3,,,,6.30,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,820",,"7 #12 3/4"" PVC-40 STRAP",,,,$8.39, ,,0.081,, ,$9.86,,, ,,$11.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,11,  12 THHN CU STRANDED 3,,,,7.35,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"8,821",,"8 #12 3/4"" PVC-40 STRAP",,,,$9.39, ,,0.085,, ,$10.85,,, ,,$12.21,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,847",10 X 1-1/2 COMB PAN HD ,,,,0.13,,,0.00,,$9.95,,,C,0.00,,X,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,11,  12 THHN CU STRANDED 3,,,,8.40,,,0.00,,$948.00,,,M,4.00,,M,,,,
,"7,976",  3/4 PVC 40,,,,1.00,,,0.00,,$85.52,,,C,3.00,,C,,,,
,"4,587",  3/4 LOCKNUT,,,,0.10,,,0.00,,$76.78,,,C,8.65,,C,,,,
,"5,258",  3/4 GRC 1H STL STP,,,,0.13,,,0.00,,$140.03,,,C,3.00,,C,,,,
,"8,444",  3/4 PVC MALE TERM,,,,0.10,,,0.00,,$106.27,,,C,9.00,,C,,,,
,"8,824",,pvc feeder strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,825",,n3 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,826",,"3 #3   1"" EMT   PVC STRAP",,,,$28.44, ,,0.081,, ,$26.94,,, ,,$30.31,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.05,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,16,   3 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$8,880.02",,,M,9.00,,M,,,,
,"1,998",    1 EMT 1 HOLE STP/ST,,,,0.13,,,0.00,,$76.58,,,C,3.00,,C,,,,
,"8,445",    1 PVC MALE TERM,,,,0.05,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,827",,"3 #3 & 1 #8  1"" PVC STRAP",,,,$31.13, ,,0.087,, ,$29.44,,, ,,$33.12,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,13,   8 THHN CU STRANDED 5,,,,1.00,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
