Category,Name,Description,Part Number,Price,Cost,Unit of Measure
Wire,COP BARE4S0LPCS,BARE CU #4 SOL PCS,BARE4S0LPCS,1356.91,1356.91,THOUSAND
Wire,COP TC124PCS,12/4 TRAY CABLE-PIECES,TC124PCS,1515.62,1515.62,THOUSAND
Wire,COP TFFN16STRD2500,TFFN 16 STR RED 2500',TFFN16STRD2500,126.74,126.74,THOUSAND
Wire,COP THHN10STGYBR2500,THHN 10 STR GRAY/BROWN STRIPE 2500',THHN10STGYBR2500,354.64,354.64,THOUSAND
Wire,COP TC161TR10000,16/1TR TRAY CABLE SHIELDED 600V,TC161TR10000,484.59,484.59,THOUSAND
Wire,COP BARE10STPCS,BARE CU 1/0 STR CU PCS,BARE10STPCS,3223.17,3223.17,THOUSAND
Wire,COP RX122WGPCS,12/2 WG ROMEX-PIECES,RX122WGPCS,525.80,525.80,THOUSAND
Wire,COP RX123WG1000,12/3 WG ROMEX-1000',RX123WG1000,783.61,783.61,THOUSAND
Wire,COP RX142WGPCS,14/2 WG ROMEX-PIECES,RX142WGPCS,366.94,366.94,THOUSAND
Wire,COP RX143WG1000,14/3 WG ROMEX-1000',RX143WG1000,517.20,517.20,THOUSAND
Wire,COP RX43WG1000,4/3 WG ROMEX-1000',RX43WG1000,8595.53,8595.53,THOUSAND
Wire,COP RX83WG125,8/3 WG ROMEX-125',RX83WG125,2358.61,2358.61,THOUSAND
Wire,COP SER30WG500,CU 3/0-3/0-3/0-1/0 WG SER CABLE-500',SER30WG500,24226.15,24226.15,THOUSAND
Wire,COP SER34PCS,CU 3-3-3-5 SER CABLE-PIECES,SER34PCS,8308.10,8308.10,THOUSAND
Wire,COP TC103W0GPCS,10/3 WOG TRAY CABLE-PIECES,TC103W0GPCS,1572.25,1572.25,THOUSAND
Wire,COP TC1042500,10/4 TRAY CABLE-2500',TC1042500,1961.38,1961.38,THOUSAND
Wire,COP TC63WGPCS,6/3 WG TRAY CABLE-PIECES,TC63WGPCS,4661.88,4661.88,THOUSAND
Wire,COP TC83WG1000,8/3 WG TRAY CABLE-1000',TC83WG1000,3711.82,3711.82,THOUSAND
Wire,COP TFFN16STRD500,TFFN 16 STR RED 500',TFFN16STRD500,126.74,126.74,THOUSAND
Wire,COP TFFN18STWH500,TFFN 18 STR WHITE 500',TFFN18STWH500,90.58,90.58,THOUSAND
Wire,COP THHN10BK2500,THHN 1/0 STR BLACK 2500',THHN10BK2500,3245.99,3245.99,THOUSAND
Wire,COP THHN10S0LGN2500,THHN 10 SOL GREEN 2500',THHN10S0LGN2500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LGY500,THHN 10 SOL GRAY 500',THHN10S0LGY500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LRD2500,THHN 10 SOL RED 2500',THHN10S0LRD2500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LWH500,THHN 10 SOL WHITE 500',THHN10S0LWH500,314.76,314.76,THOUSAND
Wire,COP THHN12S0L0R2500,THHN 12 SOL ORANGE 2500',THHN12S0L0R2500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LBK500,THHN 12 SOL BLACK 500',THHN12S0LBK500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LGN500,THHN 12 SOL GREEN 500',THHN12S0LGN500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LPR500,THHN 12 SOL PURPLE 500',THHN12S0LPR500,201.19,201.19,THOUSAND
Wire,COP THHN12ST0R500,THHN 12 STR ORANGE 500',THHN12ST0R500,215.51,215.51,THOUSAND
Wire,COP THHN12STBR500,THHN 12 STR BROWN 500',THHN12STBR500,215.51,215.51,THOUSAND
Wire,COP THHN12STGY500,THHN 12 STR GRAY 500',THHN12STGY500,215.51,215.51,THOUSAND
Wire,COP THHN12STWH2500,THHN 12 STR WHITE 2500',THHN12STWH2500,215.51,215.51,THOUSAND
Wire,COP THHN12STYL500,THHN 12 STR YELLOW 500',THHN12STYL500,215.51,215.51,THOUSAND
Wire,COP THHN14ST0R500,THHN 14 STR ORANGE 500',THHN14ST0R500,148.43,148.43,THOUSAND
Wire,COP THHN14STGN500,THHN 14 STR GREEN 500',THHN14STGN500,148.43,148.43,THOUSAND
Wire,COP THHN14STGY500,THHN 14 STR GRAY 500',THHN14STGY500,148.43,148.43,THOUSAND
Wire,COP THHN14STRD2500,THHN 14 STR RED 2500',THHN14STRD2500,148.43,148.43,THOUSAND
Wire,COP THHN1BK5000,THHN 1 STR BLACK 5000',THHN1BK5000,2651.43,2651.43,THOUSAND
Wire,COP THHN250BK1000,THHN 250 STR BLACK 1000',THHN250BK1000,7299.29,7299.29,THOUSAND
Wire,COP THHN250BKPCS,THHN 250 STR BLACK PCS,THHN250BKPCS,7299.29,7299.29,THOUSAND
Wire,COP THHN30BK500,THHN 3/0 STR BLACK 500',THHN30BK500,5046.26,5046.26,THOUSAND
Wire,COP THHN350BK1000,THHN 350 STR BLACK 1000',THHN350BK1000,10249.61,10249.61,THOUSAND
Wire,COP THHN350BKPCS,THHN 350 STR BLACK PCS,THHN350BKPCS,10249.61,10249.61,THOUSAND
Wire,COP THHN3BK500,THHN 3 STR BLACK 500',THHN3BK500,1848.06,1848.06,THOUSAND
Wire,COP THHN40BK5000,THHN 4/0 STR BLACK 5000',THHN40BK5000,6299.24,6299.24,THOUSAND
Wire,COP THHN4BK5000,THHN 4 STR BLACK 5000',THHN4BK5000,1465.37,1465.37,THOUSAND
Wire,COP THHN6BL500,THHN 6 STR BLUE 500',THHN6BL500,941.36,941.36,THOUSAND
Wire,COP THHN6RD1000,THHN 6 STR RED 1000',THHN6RD1000,941.36,941.36,THOUSAND
Wire,COP THHN6WH500,THHN 6 STR WHITE 500',THHN6WH500,941.36,941.36,THOUSAND
Wire,COP THHN8BK2500,THHN 8 STR BLACK 2500',THHN8BK2500,611.84,611.84,THOUSAND
Wire,COP THHN8GN500,THHN 8 STR GREEN 500',THHN8GN500,611.84,611.84,THOUSAND
Wire,COP UF103WG250,UF-B 10/3WG CABLE 250',UF103WG250,1413.12,1413.12,THOUSAND
Wire,COP UF122WGPCS,UF-B 12/2WG CABLE PCS,UF122WGPCS,650.21,650.21,THOUSAND
Wire,COP UF142WGPCS,UF-B 14/2WG CABLE PCS,UF142WGPCS,417.18,417.18,THOUSAND
Wire,COP UF62WGPCS,UF-B 6/2WG CABLE PCS,UF62WGPCS,2599.51,2599.51,THOUSAND
Wire,COP XHHW10STWH500,CU XHHW #10 STR WHITE 500',XHHW10STWH500,451.51,451.51,THOUSAND
