Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,3.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,927","5/8 x 14""  STL CROSSARM",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"37,260",1/0 ACSR TO ACSR BARE C,,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"38,937","5/8"" x 10"" SINGLE UPSET",,,,1.00,,,0.00,,$0.00,,,E,0.10,,E,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,080","1/2"" X 4"" LAG BOLT",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"38,071",2 - 6/1 ACSR DIST,,,,2.00,,,0.00,,$0.00,,,M,7.00,,M,,,,
"39,443","3""  SECONDARY (WET) SPO",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,819","PIN INSUL 1"" 13.2/7.62K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,834","PIN, POLE TOP 20"" STL 1",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,6.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,926","5/8 x 10 3/4""  STL CR-A",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,2.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,2.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
"37,068","3/8"" X 4 1/2"" CARRIAGE ",,,,2.00,,,0.00,,$0.00,,,E,0.08,,E,,,,
"38,741","POLE # & LETTERS, METAL",,,,4.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,532","26"" BRACE, PLASTIC  CRO",,,,2.00,,,0.00,,$0.00,,,E,0.45,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,1.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"36,953",8' CROSSARM TYPE-4  FIB,,,,1.00,,,0.00,,$0.00,,,E,1.20,,E,,,,
"30,046",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,047",,double support misc,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,048",,DBL SUPPORT-MISC. (RUS VA2.,,,,$0.00, ,,2.210,, ,$74.26,,, ,,$83.54,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,834","PIN, POLE TOP 20"" STL 1",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,2.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,3.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,049",,DBL SUPPORT-MISC. (RUS VA2.,,,,$0.00, ,,1.730,, ,$58.13,,, ,,$65.39,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,3.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,2.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,050",,DBL SUPPORT-MISC. (RUS VA2.,,,,$0.00, ,,1.040,, ,$34.94,,, ,,$39.31,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,927","5/8 x 14""  STL CROSSARM",,,,2.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"30,051",,DBL SUPPORT-MISC. (RUS VA2.,,,,$0.00, ,,0.400,, ,$13.44,,, ,,$15.12,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,
"30,054",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,055",,double support,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,056",,DBL SUPPORT (RUS VA2.1),,,,$0.00, ,,2.820,, ,$94.75,,, ,,$106.60,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,4.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,4.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,834","PIN, POLE TOP 20"" STL 1",,,,2.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
