assmNum,assmName
30696,240/480 volts
30701,120/208 volts
30706,24.9/14.4 kv rus
30711,24.9/14.4 kv rus
30716,24.9/14.4 kv rus
30721,24.9/14.4 kv rus
30726,24.9/14.4 kv rus
30731,24.9/14.4 kv rus
30738,24.9/14.4 kv rus
30743,24.9/14.4 kv rus
30748,24.9/14.4 kv rus
30753,24.9/14.4 kv rus
30758,24.9/14.4 kv rus
30764,24.9/14.4 kv rus
30769,24.9/14.4 kv rus
30774,24.9/14.4 kv rus
30778,24.9/14.4 kv rus
30783,start rus 34.5-69kv and 115
30964,medium duly pole bands
31036,"ld angle, guying & deadend"
31045,ld angle guying &deadend po
31053,ld angle guying &deadend po
31061,md angle guying &deadend po
31069,md angle guying &deadend po
31077,md angle guying &deadend po
31085,md angle guying &deadend po
31149,tangent single pole suspens
31155,34.5kv
31159,46kv
31163,69kv
31169,34.5kv
31172,46kv
31175,69kv
31180,34.5kv
31184,46kv
31188,69kv
31193,34.5kv
31196,46kv
31199,69kv
31227,start rus underground datab
31419,misc material & labor
31465,aluminum feeders /constants
31634,d/s feeder rack w/wire cons
31719,d/s emt feeder beam clamp w
31805,#3 emt s/c strap const Al W
31841,#4/0 emt s/c strap const Al
31899,d/c feeder rack w/wire cons
31984,d/c emt feeder bc w/wire co
32039,#350 emt d/c beam clamp con
32069,s/s feeder w/wire const alu
32154,s/s feeder w/wire const
32240,s/s emt feeder rack w/wire
32327,s/s emt feeder bc w/wire co
32382,#350 alum emt s/s beam clam
32412,s/c emt feeder bc w/wire co
32467,#350 emt s/c beam clamp con
32498,s/c emt feeder rack w/wire
32577,#750 emt s/c rack const alu
32585,feeder grc strap const
32628,#250 grc strap const alum w
32670,grc feeder strap concrete c
32725,#350 grc strap conc const a
32749,#750 grc  strap conc const
32756,#3 GRC rack const 85A alum
32786,#3/0 GRC  rack const 175A
32840,grc feeder underground cons
32925,grc feeder beam clamp w/wir
32932,#2 GRC beam clamp const 100
32956,#3/0 GRC beam clamp const 1
33095,al feeder concrete w/wire c
33114,31/0 al strap concrete cons
33156,#400 al strap concrete cons
33181,al feeder rack w/wire const
33188,#2 al rack const alum wire
33266,al feeder beam clamp w/wire
33267,#3 al beam clamp
33273,#2 al beam clamp
33281,#1 al beam clamp
33287,#1/0 al beam clamp
33293,#2/0 al beam clamp
33299,#3/0  al beam clamp
33305,#4/0 al beam clamp
33311,#250 al beam clamp
33317,#300 al beam clamp
33323,#350 al beam clamp
33329,#400 al beam clamp
33335,#500 al beam clamp
33341,#600 al beam clamp
33347,#750 al beam clamp
33363,grc/pvc feeder no strap con
33394,#3/0 grc/pvc no strap const
33406,#250 grc/pvc no strap const
33412,#300 grc/pvc no strap const
33418,#350 grc/pvc no strap const
33424,#400 grc/pvc no strap const
33430,#500 grc/pvc no strap const
33436,#600 grc/pvc no strap const
33442,#750 grc/pvc no strap const
33449,grc/pvc feeder strap conc c
33462,#1 grc/pvc strap conc const
33492,#250 grc/pvc strap conc con
33534,grc/pvc feeder rack const
33589,#350 grc/pvc rack const alu
33620,grc/pvc feeder ug w/wire co
33627,#2 grc/pvc underground cons
33657,#4/0 grc/pvc u/g const alum
33699,#750 grc/pvc u/g const alum
33706,imc feeder conc.  const alu
33792,imc feeder rack w/wire cons
33805,#1 imc rack const alum wire
33829,#4/0 imc rack const allum w
33878,imc feeder underground w/wi
33965,imc feeder beam clamp w/wir
34050,end
34051,d/c feeder strap const w/Al
34220,pvc feeder strap const.
34306,pvc feeder U/G  alum Wire
34307,#3 SCH 40 pvc u/g. Alum Wir
34313,#2 SCH 40 pvc U/G. Alum Wir
34319,#1 SCH 40 pvc strap u/g Alu
34337,#3/0 pvc sch 40 strap  U/G
34343,#4/0 SCH 40 pv U/G t.Alum W
34349,#250 SCH40 pvc U/G ALum Wir
34355,#300  SCH 40 pvc U/G.Alum W
34361,# 350SCH 40 pvc U/G Alum Wi
34367,# 400SCH 40  pvc U/G Alum W
34373,#500SCH 4  pvc  strap U/G A
34379,#600SCH 40 pvc U/G. AL Wire
34385,#750SCH 40 pvc U/G ALUM WIR
